{'Pressão': 0.0795708892435684, 'Raio': 8.511100100000009, 'Massa': 0.5156783914802293}
{'Pressão': 0.18293822016770792, 'Raio': 10.761100100000014, 'Massa': 1.1355106895628961}
{'Pressão': 0.30921077692756993, 'Raio': 11.511100100000016, 'Massa': 1.5167206093209182}
{'Pressão': 0.4614904182987496, 'Raio': 11.811100100000017, 'Massa': 1.772721337497174}
{'Pressão': 0.6468038044903984, 'Raio': 11.811100100000017, 'Massa': 1.917152613111728}
{'Pressão': 0.8861056696449978, 'Raio': 11.661100100000017, 'Massa': 1.9982759169227766}
{'Pressão': 1.1465943176520204, 'Raio': 11.511100100000016, 'Massa': 2.0466290768586024}
{'Pressão': 1.4093948887034475, 'Raio': 11.361100100000016, 'Massa': 2.0672272528043565}
{'Pressão': 1.7425386148459785, 'Raio': 11.061100100000015, 'Massa': 2.0362173620770885}
{'Pressão': 2.067198231460604, 'Raio': 10.911100100000015, 'Massa': 2.032126553737445}
{'Pressão': 2.5879983467052883, 'Raio': 10.611100100000014, 'Massa': 1.9893704019293001}
{'Pressão': 3.0048999524433473, 'Raio': 10.461100100000014, 'Massa': 1.9694103862196173}
{'Pressão': 3.5485690623202606, 'Raio': 10.311100100000013, 'Massa': 1.9466119277226357}
{'Pressão': 4.159682530088241, 'Raio': 10.161100100000013, 'Massa': 1.918567804801803}
{'Pressão': 4.842222944112701, 'Raio': 10.011100100000013, 'Massa': 1.8865503009421238}
{'Pressão': 5.600290334496518, 'Raio': 9.711100100000012, 'Massa': 1.8176926801016722}
{'Pressão': 6.439957640981819, 'Raio': 9.561100100000012, 'Massa': 1.7817591070943128}
{'Pressão': 7.366845437678387, 'Raio': 9.561100100000012, 'Massa': 1.7763848478116988}
