{'Pressão': 0.016175815083459902, 'Raio': 4.4611000999999995, 'Massa': 0.04647279411623995}
{'Pressão': 0.08325783147016044, 'Raio': 11.811100100000017, 'Massa': 0.9525376077225017}
{'Pressão': 0.16728700941884198, 'Raio': 13.761100100000021, 'Massa': 1.6535685919446086}
{'Pressão': 0.27065434034298147, 'Raio': 14.361100100000023, 'Massa': 2.0590169305826214}
{'Pressão': 0.3969268971028435, 'Raio': 14.511100100000023, 'Massa': 2.308319997158657}
{'Pressão': 0.5492065384740232, 'Raio': 14.361100100000023, 'Massa': 2.4274626431629938}
{'Pressão': 0.7345199246656721, 'Raio': 14.211100100000023, 'Massa': 2.5163192308526234}
{'Pressão': 0.9738217898202713, 'Raio': 13.911100100000022, 'Massa': 2.53614510473279}
{'Pressão': 1.234310437827294, 'Raio': 13.611100100000021, 'Massa': 2.5236645630627543}
{'Pressão': 1.497111008878721, 'Raio': 13.31110010000002, 'Massa': 2.487814933681451}
{'Pressão': 1.8302547350212521, 'Raio': 13.01110010000002, 'Massa': 2.4453717380483497}
{'Pressão': 2.1549143516358775, 'Raio': 12.711100100000019, 'Massa': 2.390381246931163}
{'Pressão': 2.675714466880562, 'Raio': 12.411100100000018, 'Massa': 2.33516648335372}
{'Pressão': 3.092616072618621, 'Raio': 12.261100100000018, 'Massa': 2.305546909585753}
{'Pressão': 3.6362851824955342, 'Raio': 11.961100100000017, 'Massa': 2.237832245330869}
{'Pressão': 4.247398650263515, 'Raio': 11.811100100000017, 'Massa': 2.201119264633813}
{'Pressão': 4.929939064287975, 'Raio': 11.661100100000017, 'Massa': 2.161441298055851}
{'Pressão': 5.6880064546717914, 'Raio': 11.511100100000016, 'Massa': 2.119827021422493}
{'Pressão': 6.527673761157093, 'Raio': 11.361100100000016, 'Massa': 2.0770481133195227}
{'Pressão': 7.454561557853661, 'Raio': 11.211100100000015, 'Massa': 2.03369379524409}
