{'Pressão': 0.049032293347149036, 'Raio': 8.361100100000009, 'Massa': 0.3819994818776385}
{'Pressão': 0.13306147129583057, 'Raio': 11.661100100000017, 'Massa': 1.1388939696802374}
{'Pressão': 0.2364288022199701, 'Raio': 12.86110010000002, 'Massa': 1.6654683523296765}
{'Pressão': 0.3627013589798321, 'Raio': 13.31110010000002, 'Massa': 1.9997300897503918}
{'Pressão': 0.5149810003510118, 'Raio': 13.31110010000002, 'Massa': 2.168425971136139}
{'Pressão': 0.7002943865426606, 'Raio': 13.16110010000002, 'Massa': 2.262012236697288}
{'Pressão': 0.9395962516972599, 'Raio': 12.86110010000002, 'Massa': 2.28887777447404}
{'Pressão': 1.2000848997042826, 'Raio': 12.711100100000019, 'Massa': 2.328966954182869}
{'Pressão': 1.4628854707557095, 'Raio': 12.411100100000018, 'Massa': 2.2979032409250775}
{'Pressão': 1.7960291968982407, 'Raio': 12.111100100000018, 'Massa': 2.261132702714983}
{'Pressão': 2.120688813512866, 'Raio': 11.961100100000017, 'Massa': 2.2503967252387396}
{'Pressão': 2.6414889287575503, 'Raio': 11.661100100000017, 'Massa': 2.200027879961235}
{'Pressão': 3.0583905344956097, 'Raio': 11.361100100000016, 'Massa': 2.1372757055236793}
{'Pressão': 3.6020596443725226, 'Raio': 11.211100100000015, 'Massa': 2.1091088257488764}
{'Pressão': 4.2131731121405025, 'Raio': 11.061100100000015, 'Massa': 2.076203452365765}
{'Pressão': 4.895713526164963, 'Raio': 10.911100100000015, 'Massa': 2.0398543737036228}
{'Pressão': 5.65378091654878, 'Raio': 10.611100100000014, 'Massa': 1.9689283335800438}
{'Pressão': 6.493448223034082, 'Raio': 10.461100100000014, 'Massa': 1.9295274211760456}
{'Pressão': 7.42033601973065, 'Raio': 10.461100100000014, 'Massa': 1.9196059739750502}
