{'Pressão': 0.03643551921089199, 'Raio': 9.411100100000011, 'Massa': 0.4007364120162634}
{'Pressão': 0.10351753559759254, 'Raio': 13.611100100000021, 'Massa': 1.3420802302265806}
{'Pressão': 0.18754671354627406, 'Raio': 14.961100100000024, 'Massa': 1.9606015574225018}
{'Pressão': 0.2909140444704136, 'Raio': 15.411100100000025, 'Massa': 2.3375477551270496}
{'Pressão': 0.41718660123027557, 'Raio': 15.411100100000025, 'Massa': 2.5402547748193376}
{'Pressão': 0.5694662426014553, 'Raio': 15.261100100000025, 'Massa': 2.6561846120207715}
{'Pressão': 0.7547796287931041, 'Raio': 14.961100100000024, 'Massa': 2.692068612460413}
{'Pressão': 0.9940814939477035, 'Raio': 14.511100100000023, 'Massa': 2.6617799625480982}
{'Pressão': 1.254570141954726, 'Raio': 14.211100100000023, 'Massa': 2.6453413961491266}
{'Pressão': 1.5173707130061531, 'Raio': 13.911100100000022, 'Massa': 2.606302995312442}
{'Pressão': 1.850514439148684, 'Raio': 13.611100100000021, 'Massa': 2.5601878041371746}
{'Pressão': 2.1751740557633097, 'Raio': 13.31110010000002, 'Massa': 2.5025897148253704}
{'Pressão': 2.6959741710079936, 'Raio': 13.01110010000002, 'Massa': 2.443161304739282}
{'Pressão': 3.112875776746053, 'Raio': 12.86110010000002, 'Massa': 2.4104681459657797}
{'Pressão': 3.6565448866229664, 'Raio': 12.561100100000019, 'Massa': 2.3403895557561714}
{'Pressão': 4.267658354390946, 'Raio': 12.411100100000018, 'Massa': 2.3006749155409434}
{'Pressão': 4.950198768415406, 'Raio': 12.261100100000018, 'Massa': 2.2583974082601377}
{'Pressão': 5.708266158799224, 'Raio': 11.961100100000017, 'Massa': 2.1843784946423206}
{'Pressão': 6.547933465284525, 'Raio': 11.961100100000017, 'Massa': 2.169858746782699}
{'Pressão': 7.474821261981093, 'Raio': 11.811100100000017, 'Massa': 2.124872965925423}
