{'Pressão': 0.04119907521222093, 'Raio': 10.311100100000013, 'Massa': 0.5154559491796358}
{'Pressão': 0.10828109159892148, 'Raio': 14.061100100000022, 'Massa': 1.4476426140410683}
{'Pressão': 0.192310269547603, 'Raio': 15.261100100000025, 'Massa': 2.038414781082442}
{'Pressão': 0.2956776004717425, 'Raio': 15.711100100000026, 'Massa': 2.41899820880404}
{'Pressão': 0.4219501572316045, 'Raio': 15.561100100000026, 'Massa': 2.5726186272632505}
{'Pressão': 0.5742297986027842, 'Raio': 15.411100100000025, 'Massa': 2.6880370224130528}
{'Pressão': 0.7595431847944331, 'Raio': 15.111100100000025, 'Massa': 2.723224264819608}
{'Pressão': 0.9988450499490324, 'Raio': 14.661100100000024, 'Massa': 2.692210107908685}
{'Pressão': 1.259333697956055, 'Raio': 14.361100100000023, 'Massa': 2.674768578080862}
{'Pressão': 1.522134269007482, 'Raio': 14.061100100000022, 'Massa': 2.634939580782237}
{'Pressão': 1.8552779951500131, 'Raio': 13.761100100000021, 'Massa': 2.5879258686223596}
{'Pressão': 2.1799376117646383, 'Raio': 13.46110010000002, 'Massa': 2.5297003899541806}
{'Pressão': 2.7007377270093227, 'Raio': 13.16110010000002, 'Massa': 2.4692608719415188}
{'Pressão': 3.117639332747382, 'Raio': 13.01110010000002, 'Massa': 2.4358336887033154}
{'Pressão': 3.661308442624295, 'Raio': 12.711100100000019, 'Massa': 2.365204107321414}
{'Pressão': 4.272421910392275, 'Raio': 12.561100100000019, 'Massa': 2.3247823628084596}
{'Pressão': 4.954962324416735, 'Raio': 12.411100100000018, 'Massa': 2.2818977774121856}
{'Pressão': 5.713029714800553, 'Raio': 12.111100100000018, 'Massa': 2.207553210150874}
{'Pressão': 6.552697021285854, 'Raio': 12.111100100000018, 'Massa': 2.192403941301792}
{'Pressão': 7.479584817982422, 'Raio': 11.961100100000017, 'Massa': 2.1470481538932695}
