{'Pressão': 0.04285427909588179, 'Raio': 7.611100100000007, 'Massa': 0.29407840409954156}
{'Pressão': 0.12688345704456333, 'Raio': 11.361100100000016, 'Massa': 1.0720795476984843}
{'Pressão': 0.23025078796870282, 'Raio': 12.561100100000019, 'Massa': 1.5854084943813556}
{'Pressão': 0.35652334472856484, 'Raio': 13.01110010000002, 'Massa': 1.914730165073809}
{'Pressão': 0.5088029860997445, 'Raio': 13.16110010000002, 'Massa': 2.1323152412844566}
{'Pressão': 0.6941163722913933, 'Raio': 13.01110010000002, 'Massa': 2.2262590597727914}
{'Pressão': 0.9334182374459927, 'Raio': 12.711100100000019, 'Massa': 2.253842284084078}
{'Pressão': 1.1939068854530153, 'Raio': 12.561100100000019, 'Massa': 2.2950824110842625}
{'Pressão': 1.4567074565044424, 'Raio': 12.261100100000018, 'Massa': 2.2648052290242107}
{'Pressão': 1.7898511826469734, 'Raio': 11.961100100000017, 'Massa': 2.2289883196665565}
{'Pressão': 2.114510799261599, 'Raio': 11.811100100000017, 'Massa': 2.2192638697075755}
{'Pressão': 2.635310914506283, 'Raio': 11.511100100000016, 'Massa': 2.1700620317771073}
{'Pressão': 3.052212520244342, 'Raio': 11.361100100000016, 'Massa': 2.1450653329226825}
{'Pressão': 3.5958816301212555, 'Raio': 11.061100100000015, 'Massa': 2.0807210264282388}
{'Pressão': 4.206995097889235, 'Raio': 10.911100100000015, 'Massa': 2.0486992893115894}
{'Pressão': 4.889535511913696, 'Raio': 10.761100100000014, 'Massa': 2.0131353995143013}
{'Pressão': 5.647602902297513, 'Raio': 10.611100100000014, 'Massa': 1.9750949643861377}
{'Pressão': 6.487270208782815, 'Raio': 10.461100100000014, 'Massa': 1.9354086078180472}
{'Pressão': 7.414158005479382, 'Raio': 10.311100100000013, 'Massa': 1.8947195115419238}
