{'Pressão': 0.03653532826894252, 'Raio': 6.861100100000005, 'Massa': 0.21956306130539832}
{'Pressão': 0.12056450621762405, 'Raio': 11.061100100000015, 'Massa': 1.006785457270776}
{'Pressão': 0.22393183714176357, 'Raio': 12.411100100000018, 'Massa': 1.5513875615587398}
{'Pressão': 0.35020439390162555, 'Raio': 12.86110010000002, 'Massa': 1.87873775978283}
{'Pressão': 0.5024840352728053, 'Raio': 12.86110010000002, 'Massa': 2.0462284329763447}
{'Pressão': 0.6877974214644541, 'Raio': 12.86110010000002, 'Massa': 2.1901654904744716}
{'Pressão': 0.9270992866190535, 'Raio': 12.561100100000019, 'Massa': 2.2184270271061948}
{'Pressão': 1.187587934626076, 'Raio': 12.411100100000018, 'Massa': 2.260789569772081}
{'Pressão': 1.450388505677503, 'Raio': 12.111100100000018, 'Massa': 2.2312928042489766}
{'Pressão': 1.7835322318200342, 'Raio': 11.811100100000017, 'Massa': 2.1964288849485136}
{'Pressão': 2.1081918484346596, 'Raio': 11.661100100000017, 'Massa': 2.1877188503667853}
{'Pressão': 2.628991963679344, 'Raio': 11.361100100000016, 'Massa': 2.1396964318945595}
{'Pressão': 3.045893569417403, 'Raio': 11.211100100000015, 'Massa': 2.115578081734023}
{'Pressão': 3.5895626792943163, 'Raio': 10.911100100000015, 'Massa': 2.051960756232635}
{'Pressão': 4.200676147062296, 'Raio': 10.761100100000014, 'Massa': 2.020840326870936}
{'Pressão': 4.883216561086757, 'Raio': 10.611100100000014, 'Massa': 1.9860801656504523}
{'Pressão': 5.641283951470574, 'Raio': 10.461100100000014, 'Massa': 1.948750251084332}
{'Pressão': 6.4809512579558755, 'Raio': 10.311100100000013, 'Massa': 1.90969020157558}
{'Pressão': 7.407839054652443, 'Raio': 10.161100100000013, 'Massa': 1.869551774101818}
