{'Pressão': 0.016711503715853504, 'Raio': 3.4111000999999987, 'Massa': 0.028616543949300223}
{'Pressão': 0.10074068166453504, 'Raio': 9.861100100000012, 'Massa': 0.7568392399921595}
{'Pressão': 0.20410801258867456, 'Raio': 11.511100100000016, 'Massa': 1.3174915664042186}
{'Pressão': 0.33038056934853655, 'Raio': 12.261100100000018, 'Massa': 1.7212287009250224}
{'Pressão': 0.48266021071971626, 'Raio': 12.411100100000018, 'Massa': 1.9352410988082338}
{'Pressão': 0.667973596911365, 'Raio': 12.261100100000018, 'Massa': 2.0305177215754875}
{'Pressão': 0.9072754620659644, 'Raio': 12.111100100000018, 'Massa': 2.109952476417203}
{'Pressão': 1.167764110072987, 'Raio': 11.961100100000017, 'Massa': 2.1554859388274394}
{'Pressão': 1.4305646811244142, 'Raio': 11.811100100000017, 'Massa': 2.1731266244999063}
{'Pressão': 1.763708407266945, 'Raio': 11.511100100000016, 'Massa': 2.1392960418476865}
{'Pressão': 2.0883680238815705, 'Raio': 11.361100100000016, 'Massa': 2.132159761331873}
{'Pressão': 2.609168139126255, 'Raio': 11.061100100000015, 'Massa': 2.0857423661580676}
{'Pressão': 3.026069744864314, 'Raio': 10.761100100000014, 'Massa': 2.0247567048413013}
{'Pressão': 3.569738854741227, 'Raio': 10.611100100000014, 'Massa': 2.0002369481875495}
{'Pressão': 4.180852322509208, 'Raio': 10.461100100000014, 'Massa': 1.9706225306484166}
{'Pressão': 4.863392736533668, 'Raio': 10.311100100000013, 'Massa': 1.9371985127489075}
{'Pressão': 5.621460126917484, 'Raio': 10.161100100000013, 'Massa': 1.9010390161599848}
{'Pressão': 6.461127433402786, 'Raio': 10.011100100000013, 'Massa': 1.862997993975723}
{'Pressão': 7.388015230099354, 'Raio': 9.861100100000012, 'Massa': 1.8237415001919246}
