{'Pressão': 0.030073313571902193, 'Raio': 5.961100100000003, 'Massa': 0.14684073742613893}
{'Pressão': 0.11410249152058372, 'Raio': 10.611100100000014, 'Massa': 0.9083994912835053}
{'Pressão': 0.21746982244472324, 'Raio': 12.111100100000018, 'Massa': 1.4723397817166666}
{'Pressão': 0.3437423792045852, 'Raio': 12.561100100000019, 'Massa': 1.7938550079229434}
{'Pressão': 0.49602202057576494, 'Raio': 12.711100100000019, 'Massa': 2.0094712083599044}
{'Pressão': 0.6813354067674138, 'Raio': 12.711100100000019, 'Massa': 2.153738153834457}
{'Pressão': 0.9206372719220132, 'Raio': 12.411100100000018, 'Massa': 2.1826365688469473}
{'Pressão': 1.1811259199290356, 'Raio': 12.261100100000018, 'Massa': 2.2260905309172783}
{'Pressão': 1.4439264909804628, 'Raio': 11.961100100000017, 'Massa': 2.19736680379571}
{'Pressão': 1.7770702171229937, 'Raio': 11.811100100000017, 'Massa': 2.2059246451179084}
{'Pressão': 2.101729833737619, 'Raio': 11.511100100000016, 'Massa': 2.155759980960435}
{'Pressão': 2.6225299489823035, 'Raio': 11.211100100000015, 'Massa': 2.108928340359478}
{'Pressão': 3.039431554720363, 'Raio': 11.061100100000015, 'Massa': 2.085699569663169}
{'Pressão': 3.583100664597276, 'Raio': 10.911100100000015, 'Massa': 2.059137603269791}
{'Pressão': 4.194214132365256, 'Raio': 10.611100100000014, 'Massa': 1.992622608016334}
{'Pressão': 4.876754546389717, 'Raio': 10.461100100000014, 'Massa': 1.9586846495035097}
{'Pressão': 5.634821936773533, 'Raio': 10.311100100000013, 'Massa': 1.9220840073453074}
{'Pressão': 6.474489243258835, 'Raio': 10.161100100000013, 'Massa': 1.8836688338195966}
{'Pressão': 7.401377039955403, 'Raio': 10.011100100000013, 'Massa': 1.8440991671463292}
