{'Pressão': 0.1018766169086647, 'Raio': 7.461100100000007, 'Massa': 0.45522797470028603}
{'Pressão': 0.2281491736685267, 'Raio': 9.26110010000001, 'Massa': 0.9472925548114663}
{'Pressão': 0.3804288150397064, 'Raio': 10.011100100000013, 'Massa': 1.294477712218197}
{'Pressão': 0.5657422012313552, 'Raio': 10.311100100000013, 'Massa': 1.525086695035931}
{'Pressão': 0.8050440663859546, 'Raio': 10.311100100000013, 'Massa': 1.656142238141862}
{'Pressão': 1.0655327143929771, 'Raio': 10.311100100000013, 'Massa': 1.75859656972918}
{'Pressão': 1.3283332854444043, 'Raio': 10.161100100000013, 'Massa': 1.7847967159923335}
{'Pressão': 1.6614770115869353, 'Raio': 10.011100100000013, 'Massa': 1.8055693807265973}
{'Pressão': 1.9861366282015607, 'Raio': 9.861100100000012, 'Massa': 1.8069772198446195}
{'Pressão': 2.506936743446245, 'Raio': 9.711100100000012, 'Massa': 1.8137140498155078}
{'Pressão': 2.923838349184304, 'Raio': 9.411100100000011, 'Massa': 1.7560632642757528}
{'Pressão': 3.4675074590612174, 'Raio': 9.26110010000001, 'Massa': 1.7398384999628183}
{'Pressão': 4.078620926829197, 'Raio': 9.11110010000001, 'Massa': 1.7179464303356236}
{'Pressão': 4.761161340853658, 'Raio': 8.96110010000001, 'Massa': 1.6915710155481631}
{'Pressão': 5.519228731237475, 'Raio': 8.81110010000001, 'Massa': 1.6617578144227363}
{'Pressão': 6.358896037722777, 'Raio': 8.66110010000001, 'Massa': 1.6293948275986379}
{'Pressão': 7.285783834419344, 'Raio': 8.511100100000009, 'Massa': 1.5951916510774158}
