{'Pressão': 0.06674175056936311, 'Raio': 10.311100100000013, 'Massa': 0.6730141468367112}
{'Pressão': 0.15077092851804463, 'Raio': 12.711100100000019, 'Massa': 1.38866532291088}
{'Pressão': 0.25413825944218416, 'Raio': 13.611100100000021, 'Massa': 1.8616471124191027}
{'Pressão': 0.38041081620204614, 'Raio': 13.911100100000022, 'Massa': 2.155241796521184}
{'Pressão': 0.5326904575732259, 'Raio': 13.911100100000022, 'Massa': 2.324248692352624}
{'Pressão': 0.7180038437648747, 'Raio': 13.611100100000021, 'Massa': 2.3671753883993873}
{'Pressão': 0.9573057089194741, 'Raio': 13.31110010000002, 'Massa': 2.3916716351231178}
{'Pressão': 1.2177943569264966, 'Raio': 13.16110010000002, 'Massa': 2.428159897176631}
{'Pressão': 1.4805949279779236, 'Raio': 12.86110010000002, 'Massa': 2.3947114535705993}
{'Pressão': 1.8137386541204548, 'Raio': 12.561100100000019, 'Massa': 2.355088039227505}
{'Pressão': 2.13839827073508, 'Raio': 12.261100100000018, 'Massa': 2.302148470436175}
{'Pressão': 2.6591983859797645, 'Raio': 11.961100100000017, 'Massa': 2.250263072185718}
{'Pressão': 3.0760999917178236, 'Raio': 11.811100100000017, 'Massa': 2.2230906109900066}
{'Pressão': 3.619769101594737, 'Raio': 11.661100100000017, 'Massa': 2.1920765124530046}
{'Pressão': 4.230882569362717, 'Raio': 11.361100100000016, 'Massa': 2.1230420284739626}
{'Pressão': 4.913422983387178, 'Raio': 11.211100100000015, 'Massa': 2.0854997800692967}
{'Pressão': 5.671490373770994, 'Raio': 11.061100100000015, 'Massa': 2.04574222166182}
{'Pressão': 6.511157680256296, 'Raio': 10.911100100000015, 'Massa': 2.0045730387451868}
{'Pressão': 7.438045476952864, 'Raio': 10.761100100000014, 'Massa': 1.9626102350040164}
