{'Pressão': 0.024294072343258852, 'Raio': 2.811100099999999, 'Massa': 0.028007586438121228}
{'Pressão': 0.15057699909541322, 'Raio': 7.161100100000006, 'Massa': 0.5024926851699769}
{'Pressão': 0.3028676563134905, 'Raio': 8.511100100000009, 'Massa': 0.9122874107725532}
{'Pressão': 0.48819057218544104, 'Raio': 9.11110010000001, 'Massa': 1.205757446184633}
{'Pressão': 0.7274913544662497, 'Raio': 9.411100100000011, 'Massa': 1.4276553004847474}
{'Pressão': 0.9879905126368053, 'Raio': 9.411100100000011, 'Massa': 1.5305985468522016}
{'Pressão': 1.2508206611354529, 'Raio': 9.26110010000001, 'Massa': 1.5590289498050207}
{'Pressão': 1.5839816166198735, 'Raio': 9.26110010000001, 'Massa': 1.6322488702578288}
{'Pressão': 1.908679293453539, 'Raio': 9.11110010000001, 'Massa': 1.6367501524497798}
{'Pressão': 2.4294702925976646, 'Raio': 8.96110010000001, 'Massa': 1.6492342434127585}
{'Pressão': 2.846413956417521, 'Raio': 8.81110010000001, 'Massa': 1.6370235722572661}
{'Pressão': 3.3901062776523556, 'Raio': 8.66110010000001, 'Massa': 1.6238241290218958}
{'Pressão': 4.001243865143576, 'Raio': 8.511100100000009, 'Massa': 1.6048838987400391}
{'Pressão': 4.6838096808780465, 'Raio': 8.361100100000009, 'Massa': 1.5812993004517113}
{'Pressão': 5.441904015391828, 'Raio': 8.211100100000008, 'Massa': 1.5540672834636498}
{'Pressão': 6.28159969482129, 'Raio': 8.061100100000008, 'Massa': 1.5240637152094705}
{'Pressão': 7.208517319572881, 'Raio': 7.911100100000008, 'Massa': 1.4919967385750499}
