{'Pressão': 0.05507148238238357, 'Raio': 9.11110010000001, 'Massa': 0.483664541252643}
{'Pressão': 0.1391006603310651, 'Raio': 12.111100100000018, 'Massa': 1.2465793295170067}
{'Pressão': 0.2424679912552046, 'Raio': 13.16110010000002, 'Massa': 1.746246413944428}
{'Pressão': 0.3687405480150666, 'Raio': 13.46110010000002, 'Massa': 2.0353243636990364}
{'Pressão': 0.5210201893862463, 'Raio': 13.46110010000002, 'Massa': 2.2042511464403436}
{'Pressão': 0.7063335755778951, 'Raio': 13.31110010000002, 'Massa': 2.29741922272239}
{'Pressão': 0.9456354407324945, 'Raio': 13.01110010000002, 'Massa': 2.323529723148551}
{'Pressão': 1.206124088739517, 'Raio': 12.86110010000002, 'Massa': 2.3624417870330845}
{'Pressão': 1.4689246597909442, 'Raio': 12.561100100000019, 'Massa': 2.3305866191790656}
{'Pressão': 1.8020683859334752, 'Raio': 12.261100100000018, 'Massa': 2.292863044178283}
{'Pressão': 2.1267280025481003, 'Raio': 12.111100100000018, 'Massa': 2.281119518964625}
{'Pressão': 2.6475281177927847, 'Raio': 11.811100100000017, 'Massa': 2.229597013353025}
{'Pressão': 3.064429723530844, 'Raio': 11.511100100000016, 'Massa': 2.1662605390258474}
{'Pressão': 3.6080988334077575, 'Raio': 11.361100100000016, 'Massa': 2.1371280005131568}
{'Pressão': 4.219212301175737, 'Raio': 11.211100100000015, 'Massa': 2.103356845764847}
{'Pressão': 4.901752715200198, 'Raio': 10.911100100000015, 'Massa': 2.0332725772295506}
{'Pressão': 5.659820105584015, 'Raio': 10.761100100000014, 'Massa': 1.9948429191869652}
{'Pressão': 6.499487412069316, 'Raio': 10.611100100000014, 'Massa': 1.9548345810017362}
{'Pressão': 7.426375208765884, 'Raio': 10.461100100000014, 'Massa': 1.9138838833275875}
